,자치구,버스정류장ARS총수,노선총수,승차총승객수,하차총승객수,승차총승객수평균,하차총승객수평균,평균 이동 시간 평균(분),이동인구 평균(합),평균 이동 시간 합(분),이동인구 합(합),세대,계,남자,여자,65세이상고령자,택시운송업 사업체수,택시운송업 종사자수,한식 일반 음식점업 사업체수,한식 일반 음식점업 종사자수,용달 화물자동차 운송업 사업체수,용달 화물자동차 운송업 종사자수,부동산 중개 및 대리업 사업체수,부동산 중개 및 대리업 종사자수,두발미용업 사업체수,두발미용업 종사자수,커피전문점 사업체수,커피전문점 종사자수,남녀용 겉옷 및 셔츠 도매업 사업체수,남녀용 겉옷 및 셔츠 도매업 종사자수,기타주점업 사업체수,기타주점업 종사자수,일반 교과 학원 사업체수,일반 교과 학원 종사자수,한식 육류요리 전문점 사업체수,한식 육류요리 전문점 종사자수,사업체총수,종사자총수
0,성북구,602,99,6236424,6231238,123.2519219747426,123.14942983062906,22.16028334147533,45.81627344894969,9072420,18757182.35,197296,442680,212277,230403,75719,1835,2643,973,2822,1312,1335,846,1175,739,1245,457,1384,85,454,512,1030,464,1755,365,1334,7588,15177
1,서초구,600,93,7221330,6977950,126.6877774074139,122.41802775389904,22.83164323602425,64.13862402193614,10291660,28911318.58,169895,413677,197665,216012,61404,417,903,1564,6712,386,411,1457,2758,676,1832,1012,3897,157,1563,446,1255,812,3812,445,2338,7372,25481
2,강서구,566,49,4681083,4652828,88.11947968826475,87.58759082865856,25.124068017962564,58.44728195768413,9388010,21839762.06,272572,578426,277797,300629,93924,3735,6922,1325,4584,1799,1862,1311,2352,1015,1751,690,2530,78,700,794,1709,672,2347,581,2274,12000,27031
3,마포구,562,97,5088461,4957596,103.90763921504563,101.2353433664822,22.044200819101217,54.88490629556367,9494790,23639807.3,180702,378629,176886,201743,55168,1165,1838,1411,4705,770,829,1149,1903,896,2042,1369,4475,96,1209,1011,2559,469,1855,701,2928,9037,24343
4,노원구,514,57,4353295,4292724,88.47621080015446,87.24516797756235,24.02951468371579,55.18459000987929,8975240,20611941.03,219065,514445,247417,267028,89426,4114,6074,866,2650,1730,1736,714,1053,782,1353,535,1748,30,123,355,844,735,3281,428,1557,10289,20419
5,은평구,501,71,5201660,5122499,106.39517283698098,104.776007363469,24.61157830591103,50.26042751371115,8077520,16495472.31,215178,476013,227172,248841,88418,3108,4430,881,2585,1340,1349,1134,1614,947,1443,457,1296,26,74,484,925,551,1793,476,1639,9404,17148
6,강남구,499,91,8030483,7569213,128.76792700917196,121.37151241100636,23.094564552376685,90.22663635868018,11437560,44684651.43,234612,537338,257096,280242,79575,1796,2517,2415,11486,445,487,2337,6508,1241,6255,1624,7273,384,8320,713,2528,1426,9020,827,5008,13208,59402
7,구로구,486,79,4942197,4730992,119.23561485198678,114.14007575574804,22.933747752583628,41.73938238256438,7946750,14463071.65,181916,419984,208027,211957,73864,2757,3817,1048,3215,1318,1351,789,1213,729,1134,421,1384,114,923,576,1165,336,1111,428,1496,8516,16809
8,관악구,466,86,7655819,7792476,154.75367386953974,157.51603970002628,23.37792784749742,49.90403573246489,8772170,18725641.04,279353,500336,250450,249886,80686,1286,2027,1226,3689,1579,1600,1010,2136,895,1604,581,2049,31,190,658,1672,354,1230,422,1628,8042,17825
9,영등포구,465,101,5739875,5783211,120.33785483668078,121.246404461403,21.615226871267787,56.41463445447347,9581360,25006858.6,188193,400241,198080,202161,63547,1349,2397,1738,6476,1281,1429,986,1566,673,1261,838,3295,76,1220,636,1489,288,1082,494,2151,8359,22366
