,자치구,평균 이동 시간 평균(분),이동인구 평균(합),평균 이동 시간 합(분),이동인구 합(합)
0,종로구,21.34959861626437,44.23597803912978,9356120,19385709.6
1,중구,21.012461586746777,44.516072285783316,9306020,19715322.61
2,용산구,21.36478606056348,36.903882501430274,8514380,14707082.87
3,성동구,21.740323787996655,42.685595764042795,8887140,17449273.95
4,광진구,22.474283212956884,46.76254830691305,8625540,17947278.99
5,동대문구,21.673451271009796,39.94270838135689,8838130,16288077.28
6,중랑구,23.412788520234386,41.01275310305779,7939300,13907465.59
7,성북구,22.16028334147533,45.81627344894969,9072420,18757182.35
8,강북구,23.81127435721845,39.12847008653427,7649610,12570412.3
9,도봉구,24.48997595068315,37.88228349488733,6995880,10821566.75
10,노원구,24.02951468371579,55.18459000987929,8975240,20611941.03
11,은평구,24.61157830591103,50.26042751371115,8077520,16495472.31
12,서대문구,22.02681605528697,42.416672451746194,8465390,16301660.39
13,마포구,22.044200819101217,54.88490629556367,9494790,23639807.3
14,양천구,22.793733842746878,46.544142495776335,7379950,15069643.56
15,강서구,25.124068017962564,58.44728195768413,9388010,21839762.06
16,구로구,22.933747752583628,41.73938238256438,7946750,14463071.65
17,금천구,23.998943774873158,30.597875252268057,6362000,8111343.74
18,영등포구,21.615226871267787,56.41463445447347,9581360,25006858.6
19,동작구,21.867593172911135,40.991814514975545,8408680,15762459.46
20,관악구,23.37792784749742,49.90403573246489,8772170,18725641.04
21,서초구,22.831643236024252,64.13862402193614,10291660,28911318.58
22,강남구,23.094564552376685,90.22663635868018,11437560,44684651.43
23,송파구,25.429707440880627,83.49358069162538,10610520,34837613.05
24,강동구,25.67008394508402,64.24968662937803,8430800,21101460.33
