,자치구,세대,계,남자,여자,65세이상고령자
1,종로구,73766,153684,74018,79666,28064
2,중구,63767,131450,63869,67581,24742
3,용산구,111207,236518,114571,121947,39461
4,성동구,134533,291609,141662,149947,46896
5,광진구,169483,353110,169525,183585,52604
6,동대문구,169695,352592,172318,180274,62963
7,중랑구,187693,393600,193623,199977,72851
8,성북구,197296,442680,212277,230403,75719
9,강북구,144725,300824,145934,154890,64961
10,도봉구,138836,318100,154440,163660,65122
11,노원구,219065,514445,247417,267028,89426
12,은평구,215178,476013,227172,248841,88418
13,서대문구,145044,317075,149805,167270,55012
14,마포구,180702,378629,176886,201743,55168
15,양천구,181765,449378,219882,229496,69953
16,강서구,272572,578426,277797,300629,93924
17,구로구,181916,419984,208027,211957,73864
18,금천구,118697,244901,123959,120942,41819
19,영등포구,188193,400241,198080,202161,63547
20,동작구,186419,394649,190377,204272,67470
21,관악구,279353,500336,250450,249886,80686
22,서초구,169895,413677,197665,216012,61404
23,강남구,234612,537338,257096,280242,79575
24,송파구,285106,668261,321963,346298,99854
25,강동구,201926,465097,227891,237206,75477
